d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900556535,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp018265835,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900556145,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900772725,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NSJ-62;s__NSJ-62 sp018919205,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp017527825,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp902760845,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__Harryflintia acetispora,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__UBA2658 sp009929315,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus aquaticus,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Filimonas;s__Filimonas zeae,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter gallistercoris,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__WRJS01;s__WRJS01 sp009777165,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SP197;f__SP197;g__MPMV01;s__MPMV01 sp002238685,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Herbivorax,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SP197;f__SP197;g__MPMV01,C00019_SAM+,C00024_Acetyl CoA,C00041_Ala,C00043_UDP-N-acetylglucosamine,C00106_Uracil,C00148_Pro,C00170_5-Methylthioadenosine,C00179_Agmatine,C00214_Thymidine,C00253_Nicotinate,C00295_Orotate,C00327_Citrulline,C00385_Xanthine,C00407_Ile,C00429_Dihydrouracil,C00430_5-Aminolevulinate,C00864_Pantothenate,C02630_2-Hydroxyglutarate,C02989_Methionine sulfoxide,C05607_3-Phenyllactate,C07044_Hydroxyurea,C09815_Benzamide
0.0,0.0,0.0,0.0,2.78068188117744e-06,0.0,0.0,8.282882199251949e-07,0.0,4.96972931955117e-06,0.0,1.0767746859027536e-05,7.691247756448239e-07,1.5382495512896478e-06,7.887458585912762e-07,0.00018456653091035864,1.0873425050579736e-05,1.4648137373837988e-06,5.424222355,0.0,6681.097084,0.0,0.0,3992.014755,3.250041884,6.421940216,0.0,0.0,0.0,412.3242363,0.0,2842.513378,23004.67304,0.0,38.89239538,0.0,999.0851815,0.0,113.5590445,0.0
0.0,1.1047838002126842e-05,1.56635115609669e-05,5.955707817858136e-07,3.394753456179137e-06,5.955707817858136e-07,1.935605040803894e-06,3.0076324480183588e-06,1.995162118982476e-06,0.0,0.0,1.6973767280895688e-06,0.0,0.0,2.8144781549262103e-06,0.0001350670853161123,3.6225956449545283e-07,0.0,0.0,0.0,45131.0,0.0,2816.0,12741.0,0.0,0.0,129.0,833.0,587.0,4358.0,6939.0,8074.0,0.0,0.0,262.0,4948.0,544.0,2768.0,0.0,1419.0
5.6041917140019065e-06,1.425263571709127e-05,2.964686604259033e-05,2.9404709610503837e-06,0.0001076558309504564,2.283189216815592e-06,1.210782160432511e-06,1.030894525168252e-05,6.91875520247149e-07,0.0,1.90265768067966e-06,4.843128641730043e-07,0.0,0.0,1.0184544284192804e-05,0.0043802426266035,9.569370468369075e-07,0.0,0.0,0.0,42371.0,0.0,8018.0,8053.0,0.0,3.5,452.0,1483.0,0.0,2267.0,10943.0,8251.0,0.0,0.0,626.0,5904.0,519.0,2238.0,0.0,435.0
3.374696325167925e-06,2.1918130771709205e-06,2.146585188276917e-05,2.4353478635232447e-06,5.020295667234346e-05,5.914416239985023e-07,1.287255299290858e-06,3.4094870089325422e-06,4.174882051754134e-07,5.914416239985023e-07,0.0,3.757393846578721e-06,0.0,0.0,3.2033862276685163e-06,0.0017431977972993,6.537522913609217e-07,0.0,0.0,0.0,11665.0,0.0,537.0,6732.0,0.0,4.1,93.0,0.0,0.0,3686.0,716.0,3099.0,0.0,11.0,0.0,208.0,383.0,0.0,0.0,0.0
8.480345634740647e-06,5.134202475812473e-05,4.25454628454785e-05,5.720639936655555e-06,0.0002141646609451452,2.9609342385704638e-06,8.135382422480011e-06,2.529730223244668e-06,1.351105914687493e-06,0.0,0.0,2.069779273563819e-06,0.0,0.0,2.425018764271614e-06,0.0050676278485737,1.5707507904941138e-06,0.0,0.0,0.0,20855.0,0.0,1816.0,3697.0,0.0,0.0,450.0,1141.0,285.0,627.0,3585.0,5851.0,0.0,10.0,378.0,3120.0,1397.0,251.0,0.0,2004.0
0.0,0.0,1.389525408309369e-06,0.0,2.208989110645664e-06,0.0,0.0,1.995215970905761e-06,0.0,1.2826388384394177e-06,0.0,6.235049909080502e-06,0.0,0.0,1.973399212916772e-06,7.632826241388799e-05,0.0,0.0,24.60600772,41.73088775,16161.415469999998,64.7985169,0.0,14041.0223,0.0,15.74448223,259.765976,0.0,0.0,182.1360591,0.0,2281.004527,58898.81466,16.42693534,13.07065518,544.1778921,189.8205438,312.0324679,0.0,0.0
2.576801876804741e-05,4.068259552964536e-05,0.00012594267606171007,1.2183404265445455e-05,0.0005150753834483062,5.58109162257248e-06,1.111468459303796e-05,0.0001411659940620035,3.9423881248809865e-06,4.274878689629985e-07,4.037385429094986e-07,2.089940692707993e-06,0.0,0.0,0.00013341444141299182,0.0159278303287925,4.376819662774799e-06,0.0,12.75413744,0.0,1147.307399,28.3561759,0.0,1612.781694,10.51404954,3.2776696860000003,257.47313219999995,0.0,0.0,307.637969,0.0,224.2669286,65.71698039,7.376010447,0.0,164.8852902,81.86212631,0.0,0.0,48.31821316
1.936057546606004e-05,1.5163320937540151e-05,9.839901637635703e-05,6.50278870615757e-06,0.0001995173807571073,4.197254528519887e-06,3.665208179834267e-06,2.128185394742477e-05,1.5665809155743238e-06,3.251394353078785e-07,3.5469756579041295e-07,1.6256971765393926e-06,0.0,0.0,2.033860615464301e-05,0.0107639530747678,4.689178641209361e-06,0.0,87.98517579,95.50933786,2447.588593,103.7934732,0.0,1310.248372,21.59442616,44.70231449,284.7370913000001,0.0,0.0,291.0806241,0.0,197.3067437,0.0,12.25460714,33.32289182,439.4057888,100.2224993,0.0,0.0,23.08631587
0.0,0.0,6.559839984886129e-07,0.0,7.543815982619048e-06,0.0,0.0,9.371199978408756e-07,0.0,0.0,0.0,5.622719987045253e-07,0.0,0.0,8.463289255676561e-07,7.616960330108905e-05,6.008935371530359e-06,0.0,0.0,0.0,42718.0,0.0,2795.0,2181.0,0.0,26.0,0.0,0.0,0.0,4101.0,5620.0,15270.0,0.0,0.0,396.0,931.0,165.0,0.0,0.0,0.0
2.4829417406436823e-05,7.434322057558128e-05,6.491616373318413e-05,9.688113801109696e-06,0.00030288408476403423,4.234923996892262e-06,4.263930325638099e-06,0.00014233405515582417,2.494544272142017e-06,6.091329036625856e-07,0.0,2.494544272142017e-06,2.900632874583741e-07,4.0608860244172373e-07,0.00013851031269542847,0.0089455870690588,2.596891943749627e-06,3.95179208831465e-07,5.730376589,0.0,1601.618188,35.88346420000001,0.0,1185.7464,5.5651301470000005,0.0,294.2171504,0.0,0.0,293.68039060000007,54.26412264,338.04476150000005,0.0,9.262211902,0.0,124.9856946,84.01589812,0.0,0.0,82.30913906
